name,rows,cols,agent_type,agent_start_position,tree_positions,tree_rewards,tree_visibility,steps,best_path,path_expected_reward,path_likelihood,path_true_reward,path_reached_reward_goal,reward_goal_probability,counterfactual_agent,counterfactual_agent_orig_path_expected_reward,counterfactual_agent_orig_path_likelihood,counterfactual_start_position,counterfactual_start_true_reward,counterfactual_start_reached_reward_goal,counterfactual_start_reward_goal_probability,counterfactual_agent_new_path,paths_identical_across_agents,counterfactual_agent_new_path_expected_reward,counterfactual_agent_new_path_likelihood,counterfactual_agent_new_path_true_reward,counterfactual_agent_new_path_reached_reward_goal,counterfactual_agent_reward_goal_probability
trial_21,10,10,optimist,"[10, 10]","[[3, 9], [5, 10], [6, 4], [9, 7], [5, 3], [7, 9], [9, 4], [2, 8], [4, 7], [2, 10]]","[1, 3, 7, 9, 8, 7, 8, 3, 5, 7]","[1, 1, 1, 0, 1, 1, 1, 1, 0, 1]",10,"[[10, 10], [10, 9], [10, 8], [10, 7], [9, 7], [9, 6], [9, 5], [9, 4], [8, 4], [7, 4], [6, 4]]",23,0.9763996245980637,24,1,0.9763996245980637,pessimist,17,0.41107833476260847,"[1, 1]",15,0,0,"[[10, 10], [10, 9], [10, 8], [10, 7], [9, 7], [9, 6], [9, 5], [9, 4], [8, 4], [7, 4], [6, 4]]",1,17,0.41107833476260847,24,1,0.41107833476260847
trial_22,10,10,optimist,"[10, 10]","[[2, 1], [9, 6], [10, 9], [4, 7], [5, 10], [8, 4], [8, 10], [4, 4], [7, 7], [9, 4]]","[8, 6, 7, 7, 3, 2, 6, 3, 9, 8]","[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",10,"[[10, 10], [10, 9], [10, 10], [10, 9], [10, 10], [9, 10], [8, 10], [8, 9], [8, 8], [8, 7], [7, 7]]",25,0.040204414,22,1,0.9866636652887774,pessimist,13,0.000337059,"[1, 1]",18,0,0,"[[10, 10], [10, 9], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [9, 6], [9, 5], [9, 4], [8, 4]]",0,18,0.050023998,23,1,0.8955320113095496
trial_23,10,10,optimist,"[10, 10]","[[7, 8], [6, 6], [6, 10], [7, 10], [1, 5], [5, 9], [4, 4], [10, 4], [8, 2], [4, 7]]","[2, 6, 1, 1, 5, 1, 2, 5, 5, 3]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 1]",10,"[[10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5], [10, 4], [10, 3], [10, 2], [9, 2], [8, 2]]",16,0.3219956149118632,10,0,0,pessimist,4,0.00025495,"[1, 1]",11,0,0,"[[10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [6, 6]]",0,10,0.10285428651603812,10,0,0
trial_24,10,10,pessimist,"[1, 1]","[[1, 5], [2, 8], [6, 10], [3, 5], [2, 1], [4, 9], [8, 10], [9, 6], [5, 3], [6, 7]]","[6, 4, 5, 1, 5, 9, 8, 1, 8, 6]","[1, 1, 1, 1, 0, 0, 1, 0, 1, 0]",10,"[[1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [3, 5], [4, 5], [5, 5], [5, 4], [5, 3]]",15,0.5739700362492393,15,0,0,optimist,15,0.009106565,"[10, 10]",26,1,0.7137882918991603,"[[1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [1, 5], [1, 6], [1, 7], [1, 8], [2, 8]]",0,18,0.18291025754646717,15,0,0
trial_25,10,10,pessimist,"[10, 10]","[[7, 2], [6, 1], [3, 2], [7, 8], [4, 6], [8, 5], [6, 6], [8, 7], [7, 10], [3, 1]]","[6, 1, 2, 6, 4, 8, 7, 6, 9, 9]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",10,"[[10, 10], [9, 10], [8, 10], [7, 10], [7, 9], [7, 8], [8, 8], [8, 7], [8, 6], [8, 5], [8, 6]]",25,0.1976805547616649,29,1,0.9995220039816716,optimist,31,0.22513799573265109,"[1, 1]",22,1,0.7194674633064762,"[[10, 10], [9, 10], [8, 10], [7, 10], [7, 9], [7, 8], [8, 8], [8, 7], [8, 6], [8, 5], [8, 6]]",1,31,0.22513799573265109,29,1,0.9999715827081527
trial_26,10,10,pessimist,"[10, 10]","[[8, 4], [1, 4], [9, 6], [6, 10], [7, 6], [2, 5], [5, 8], [8, 7], [2, 8], [2, 3]]","[7, 6, 7, 1, 8, 2, 7, 4, 1, 2]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",10,"[[10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [9, 6], [8, 6], [7, 6], [8, 6], [8, 5], [8, 4]]",22,0.6733203631867112,22,1,0.6733203631867112,optimist,22,0.6733203631867112,"[1, 1]",13,0,0,"[[10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [9, 6], [8, 6], [7, 6], [8, 6], [8, 5], [8, 4]]",1,22,0.6733203631867112,22,1,0.6733203631867112
trial_27,10,10,optimist,"[10, 10]","[[6, 7], [3, 4], [7, 3], [2, 5], [4, 3], [8, 2], [7, 5], [2, 10], [3, 2], [2, 9]]","[4, 1, 1, 5, 4, 6, 6, 7, 5, 2]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 0]",10,"[[10, 10], [10, 9], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [2, 10]]",15,0.21028079416521453,9,0,0,pessimist,9,0.17403143714775635,"[1, 1]",16,0,0,"[[10, 10], [10, 9], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [2, 10]]",1,9,0.17403143714775635,9,0,0
trial_28,10,10,optimist,"[10, 10]","[[7, 7], [9, 1], [10, 6], [6, 10], [9, 5], [1, 8], [4, 3], [3, 1], [6, 3], [3, 8]]","[6, 7, 1, 1, 2, 1, 8, 7, 1, 2]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",10,"[[10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1]]",10,0.2827553959098604,10,0,0,pessimist,10,0.2827553959098604,"[1, 1]",16,0,0,"[[10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1]]",1,10,0.2827553959098604,10,0,0
trial_29,10,10,optimist,"[1, 1]","[[3, 9], [9, 7], [7, 9], [6, 9], [7, 10], [8, 5], [4, 7], [3, 1], [5, 5], [9, 3]]","[2, 1, 4, 8, 6, 5, 2, 4, 8, 4]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,"[[1, 1], [1, 2], [2, 2], [3, 2], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [4, 5], [5, 5]]",12,0.097829967,12,0,0,pessimist,12,0.10862451073930368,"[10, 10]",20,1,0.9809318396668597,"[[1, 1], [1, 2], [2, 2], [3, 2], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [4, 5], [5, 5]]",1,12,0.10862451073930368,12,0,0
trial_30,10,10,pessimist,"[10, 10]","[[10, 2], [9, 4], [10, 1], [3, 3], [9, 8], [7, 1], [5, 1], [9, 2], [3, 6], [1, 8]]","[2, 2, 7, 4, 9, 3, 8, 5, 9, 6]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",10,"[[10, 10], [10, 9], [10, 8], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [10, 2]]",18,0.7003362708212219,18,0,0,optimist,30,0.9921652397246586,"[1, 1]",20,1,0.7346529736990745,"[[10, 10], [10, 9], [10, 8], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [10, 2]]",1,30,0.9921652397246586,18,0,0
